# time flux flux_err jitter offset subset 
    0.302929   131.510068 1.00 0  0 -1 
    0.808006    58.192176 1.00 0  0 -1 
    2.114672   -37.794774 1.00 0  0 -1 
    3.216927  -111.542384 1.00 0  0 -1 
    4.366841     3.993458 1.00 0  0 -1 
    5.209142    30.589540 1.00 0  0 -1 
    5.944401   -79.754538 1.00 0  0 -1 
    6.987171    -5.528090 1.00 0  0 -1 
    8.018097    46.246005 1.00 0  0 -1 
    8.950588   -44.999683 1.00 0  0 -1 
   10.163650    21.925092 1.00 0  0 -1 
   10.981544   -73.982727 1.00 0  0 -1 
   11.843887    24.712247 1.00 0  0 -1 
   12.951179   -14.125736 1.00 0  0 -1 
   14.043583   -40.552443 1.00 0  0 -1 
   15.531428    37.931063 1.00 0  0 -1 
   15.759689   -61.028950 1.00 0  0 -1 
   16.933495   -74.866300 1.00 0  0 -1 
   17.959329  -119.826632 1.00 0  0 -1 
   19.033169   -63.532204 1.00 0  0 -1 
   20.118903    60.334923 1.00 0  0 -1 
   21.178707     2.425285 1.00 0  0 -1 
   22.200679  -104.790266 1.00 0  0 -1 
   23.314201  -110.017273 1.00 0  0 -1 
   23.721367   -40.127266 1.00 0  0 -1 
   24.804463   -44.296303 1.00 0  0 -1 
   26.052960   104.751100 1.00 0  0 -1 
   27.050959  -114.837957 1.00 0  0 -1 
   27.979382   -58.667750 1.00 0  0 -1 
   29.028067   -85.035824 1.00 0  0 -1 
   29.903016    78.637447 1.00 0  0 -1 
   30.912144    33.557961 1.00 0  0 -1 
   31.771240    75.944480 1.00 0  0 -1 
   33.002583    67.719443 1.00 0  0 -1 
   34.196484    42.902169 1.00 0  0 -1 
   34.998892  -115.213955 1.00 0  0 -1 
   35.944782   -76.289178 1.00 0  0 -1 
   37.223998    17.115953 1.00 0  0 -1 
   37.829943   -45.494421 1.00 0  0 -1 
   38.764750    68.283809 1.00 0  0 -1 
   39.960601   -64.815353 1.00 0  0 -1 
   40.956319   106.356177 1.00 0  0 -1 
   41.771806    17.687005 1.00 0  0 -1 
   43.207320    29.094269 1.00 0  0 -1 
   44.195581   -41.235214 1.00 0  0 -1 
   44.842640    57.600719 1.00 0  0 -1 
   46.174601   -41.374950 1.00 0  0 -1 
   46.685144   -92.792350 1.00 0  0 -1 
   48.126534   -83.917171 1.00 0  0 -1 
   48.941367   -50.185614 1.00 0  0 -1 
   49.751545  -111.803107 1.00 0  0 -1 
   51.002995    -1.678540 1.00 0  0 -1 
   51.952815    -0.597925 1.00 0  0 -1 
   53.023395    25.509803 1.00 0  0 -1 
   53.952633  -114.922123 1.00 0  0 -1 
   55.025638   -93.125416 1.00 0  0 -1 
   56.181374   -89.392863 1.00 0  0 -1 
   56.786745   136.095534 1.00 0  0 -1 
   57.934237   -63.528592 1.00 0  0 -1 
   58.987123     5.443883 1.00 0  0 -1 
   60.053747    18.613948 1.00 0  0 -1 
   61.210630   -69.341015 1.00 0  0 -1 
   62.056932    -6.955685 1.00 0  0 -1 
   62.803600     3.334814 1.00 0  0 -1 
   64.031307   122.095058 1.00 0  0 -1 
   65.091135   -43.681723 1.00 0  0 -1 
   66.011791    -1.593007 1.00 0  0 -1 
   66.921699  -110.421424 1.00 0  0 -1 
   68.446851    77.667425 1.00 0  0 -1 
   68.956826     6.748449 1.00 0  0 -1 
   70.054142   126.354571 1.00 0  0 -1 
   70.685332    89.026548 1.00 0  0 -1 
   71.853996   120.038689 1.00 0  0 -1 
   73.214888   122.741560 1.00 0  0 -1 
   74.031776   104.382745 1.00 0  0 -1 
   74.894687    -0.276528 1.00 0  0 -1 
   76.515896    43.040380 1.00 0  0 -1 
   76.955455   -92.643572 1.00 0  0 -1 
   77.609259    15.879602 1.00 0  0 -1 
   79.003741   -86.079135 1.00 0  0 -1 
   80.160550  -105.571414 1.00 0  0 -1 
   81.153349    70.236243 1.00 0  0 -1 
   81.811384    12.955571 1.00 0  0 -1 
   82.707595   -88.185424 1.00 0  0 -1 
   84.222525    86.331529 1.00 0  0 -1 
   85.256574   -75.522270 1.00 0  0 -1 
   85.852407   118.154443 1.00 0  0 -1 
   87.030402    15.463670 1.00 0  0 -1 
   87.987561   -49.510403 1.00 0  0 -1 
   89.113665  -122.886929 1.00 0  0 -1 
   89.928665   -35.716670 1.00 0  0 -1 
   90.682073    40.089833 1.00 0  0 -1 
   92.288201  -102.436148 1.00 0  0 -1 
   92.892273   -39.895819 1.00 0  0 -1 
   93.793780    32.873952 1.00 0  0 -1 
   94.879460   -34.732068 1.00 0  0 -1 
   95.996244    -2.219893 1.00 0  0 -1 
   96.760384  -117.718487 1.00 0  0 -1 
   97.968867    10.401486 1.00 0  0 -1 
   99.616811   111.772425 1.00 0  0 -1 
