# time flux flux_err jitter offset subset 
    0.302929    49.767572 1.00 0  0 -1 
    0.808006    35.340020 1.00 0  0 -1 
    2.114672    16.585392 1.00 0  0 -1 
    3.216927     1.239655 1.00 0  0 -1 
    4.366841    28.964748 1.00 0  0 -1 
    5.209142    34.275323 1.00 0  0 -1 
    5.944401     9.779343 1.00 0  0 -1 
    6.987171    25.308148 1.00 0  0 -1 
    8.018097    35.228115 1.00 0  0 -1 
    8.950588    16.326034 1.00 0  0 -1 
   10.163650    29.837598 1.00 0  0 -1 
   10.981544     6.998778 1.00 0  0 -1 
   11.843887    28.800031 1.00 0  0 -1 
   12.951179    20.066281 1.00 0  0 -1 
   14.043583    15.220608 1.00 0  0 -1 
   15.531428    31.942394 1.00 0  0 -1 
   15.759689    10.725329 1.00 0  0 -1 
   16.933495     9.501077 1.00 0  0 -1 
   17.959329     2.416878 1.00 0  0 -1 
   19.033169    14.371409 1.00 0  0 -1 
   20.118903    38.022660 1.00 0  0 -1 
   21.178707    26.809600 1.00 0  0 -1 
   22.200679     6.084932 1.00 0  0 -1 
   23.314201     3.524605 1.00 0  0 -1 
   23.721367    16.122360 1.00 0  0 -1 
   24.804463    15.900901 1.00 0  0 -1 
   26.052960    44.610772 1.00 0  0 -1 
   27.050959     1.531004 1.00 0  0 -1 
   27.979382    10.321391 1.00 0  0 -1 
   29.028067     6.132462 1.00 0  0 -1 
   29.903016    41.030457 1.00 0  0 -1 
   30.912144    31.515380 1.00 0  0 -1 
   31.771240    40.880404 1.00 0  0 -1 
   33.002583    38.582410 1.00 0  0 -1 
   34.196484    35.594213 1.00 0  0 -1 
   34.998892     4.385245 1.00 0  0 -1 
   35.944782    12.771500 1.00 0  0 -1 
   37.223998    29.396776 1.00 0  0 -1 
   37.829943    14.701002 1.00 0  0 -1 
   38.764750    37.149172 1.00 0  0 -1 
   39.960601    11.690700 1.00 0  0 -1 
   40.956319    43.361839 1.00 0  0 -1 
   41.771806    25.601135 1.00 0  0 -1 
   43.207320    30.409887 1.00 0  0 -1 
   44.195581    16.818603 1.00 0  0 -1 
   44.842640    36.272048 1.00 0  0 -1 
   46.174601    17.301973 1.00 0  0 -1 
   46.685144     8.652498 1.00 0  0 -1 
   48.126534     9.072377 1.00 0  0 -1 
   48.941367    15.672188 1.00 0  0 -1 
   49.751545     6.134675 1.00 0  0 -1 
   51.002995    25.574915 1.00 0  0 -1 
   51.952815    25.139653 1.00 0  0 -1 
   53.023395    29.584046 1.00 0  0 -1 
   53.952633     0.880958 1.00 0  0 -1 
   55.025638     5.917392 1.00 0  0 -1 
   56.181374     6.311684 1.00 0  0 -1 
   56.786745    49.882048 1.00 0  0 -1 
   57.934237    11.070701 1.00 0  0 -1 
   58.987123    25.434568 1.00 0  0 -1 
   60.053747    27.754529 1.00 0  0 -1 
   61.210630    13.914090 1.00 0  0 -1 
   62.056932    25.100907 1.00 0  0 -1 
   62.803600    27.737240 1.00 0  0 -1 
   64.031307    49.678730 1.00 0  0 -1 
   65.091135    19.389863 1.00 0  0 -1 
   66.011791    24.669886 1.00 0  0 -1 
   66.921699     3.475781 1.00 0  0 -1 
   68.446851    38.457751 1.00 0  0 -1 
   68.956826    24.774441 1.00 0  0 -1 
   70.054142    47.436438 1.00 0  0 -1 
   70.685332    40.514163 1.00 0  0 -1 
   71.853996    48.496583 1.00 0  0 -1 
   73.214888    47.437064 1.00 0  0 -1 
   74.031776    44.995219 1.00 0  0 -1 
   74.894687    25.493277 1.00 0  0 -1 
   76.515896    35.335763 1.00 0  0 -1 
   76.955455     9.667685 1.00 0  0 -1 
   77.609259    30.095054 1.00 0  0 -1 
   79.003741    10.480949 1.00 0  0 -1 
   80.160550     5.000504 1.00 0  0 -1 
   81.153349    40.405471 1.00 0  0 -1 
   81.811384    26.612504 1.00 0  0 -1 
   82.707595     7.333278 1.00 0  0 -1 
   84.222525    40.329949 1.00 0  0 -1 
   85.256574     6.806994 1.00 0  0 -1 
   85.852407    46.673450 1.00 0  0 -1 
   87.030402    28.207120 1.00 0  0 -1 
   87.987561    13.295303 1.00 0  0 -1 
   89.113665     0.642783 1.00 0  0 -1 
   89.928665    19.292546 1.00 0  0 -1 
   90.682073    33.422038 1.00 0  0 -1 
   92.288201     8.449183 1.00 0  0 -1 
   92.892273    20.232705 1.00 0  0 -1 
   93.793780    32.918061 1.00 0  0 -1 
   94.879460    18.793449 1.00 0  0 -1 
   95.996244    25.119199 1.00 0  0 -1 
   96.760384     1.052003 1.00 0  0 -1 
   97.968867    25.225463 1.00 0  0 -1 
   99.616811    45.365462 1.00 0  0 -1 
