#bjd rv rv_error bis fwhm  sindex sindex_err texp snr 
7984.679455 -3.3841 0.0018 0.0336 6.9092 0.949 0.018 2100 53.1
7984.751182 -3.3742 0.0017 0.0371 6.9081 0.913 0.017 2100 57.3
7985.674124 -3.3684 0.0016 0.0408 6.9177 0.970 0.014 3600 59.5
7985.733443 -3.3784 0.0019 0.0455 6.9261 0.964 0.019 2100 52.1
7985.784325 -3.3815 0.0016 0.0390 6.9186 0.958 0.015 2700 60.5
7985.812451 -3.3784 0.0019 0.0447 6.9167 1.217 0.021 2400 52.6
7986.682021 -3.3800 0.0019 0.0455 6.9311 0.971 0.018 2100 52.5
7986.753853 -3.3699 0.0016 0.0578 6.9233 0.958 0.015 2100 61.7
7986.778032 -3.3675 0.0018 0.0541 6.9218 0.988 0.018 2100 55.6
7986.825742 -3.3769 0.0019 0.0422 6.9175 0.959 0.022 2100 52.1
7987.708413 -3.3813 0.0016 0.0548 6.9205 0.947 0.015 2100 62.4
7987.733807 -3.3837 0.0016 0.0521 6.9131 1.011 0.016 2100 61.4
7987.781124 -3.3816 0.0014 0.0587 6.9145 0.966 0.016 2100 67.8
7987.805535 -3.3777 0.0014 0.0575 6.9234 0.975 0.015 2100 68.4
7990.663651 -3.3743 0.0025 0.0478 6.8882 0.894 0.026 2400 41.3
7990.694913 -3.3735 0.0022 0.0518 6.8882 0.848 0.022 3000 45.1
7990.731940 -3.3748 0.0021 0.0541 6.8855 0.868 0.020 3000 46.6
7990.799975 -3.3897 0.0021 0.0543 6.8835 0.931 0.022 2400 46.2
7991.700580 -3.3831 0.0018 0.0459 6.8939 0.865 0.016 3600 53.7
7991.771590 -3.3796 0.0015 0.0514 6.8898 0.870 0.015 3000 63.6
7992.671326 -3.3800 0.0015 0.0503 6.8926 0.897 0.014 2100 63.0
7992.696419 -3.3858 0.0015 0.0503 6.8920 0.870 0.014 2100 63.9
7992.742740 -3.3875 0.0020 0.0588 6.8967 0.892 0.021 2100 50.0
7992.770507 -3.3904 0.0019 0.0572 6.8939 0.891 0.020 2400 51.5
7992.825821 -3.3919 0.0020 0.0596 6.8861 0.879 0.023 2100 50.4
